epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,6814.71,2.78352,1.07212,0.78062,0.58407,0.27718,0.38504,0.18348,2.36861,0.99509,0.77899,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,8625.03,2.72752,1.07067,0.78962,0.62397,0.42761,0.49273,0.23251,2.37832,0.99349,0.77909,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,9171.3,2.70778,1.06381,0.78881,0.64316,0.46887,0.52794,0.25355,2.32306,0.97636,0.77681,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,9701.8,2.71103,1.05972,0.77737,0.62715,0.3728,0.46062,0.224,2.30254,0.97169,0.77502,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,10270.8,2.73558,1.06303,0.78045,0.64124,0.42285,0.49496,0.23774,2.30336,0.97036,0.77465,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,10789.5,2.65791,1.04403,0.78494,0.61986,0.33565,0.43,0.20707,2.32291,0.97517,0.77484,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,11347.1,2.68377,1.04094,0.78259,0.62154,0.33825,0.43313,0.20958,2.30838,0.96771,0.7747,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,11974.8,2.67395,1.04175,0.78271,0.64402,0.40419,0.48549,0.23611,2.28909,0.95959,0.77384,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,12690.3,2.64598,1.04326,0.78278,0.66086,0.51177,0.56363,0.27038,2.30436,0.96232,0.77328,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,13119.8,2.65527,1.04376,0.78173,0.68552,0.5565,0.61205,0.29337,2.28004,0.95934,0.77194,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
